run_id,run_name,start_time,offline_accuracy,online_accuracy,decay_accuracy,offline_error_rate,offline_fpr,offline_fnr,adv_robust_rate,adv_error_rate,drift_robust_rate,drift_error_rate,ood_error_rate,ood_wrong_count,noise_robust_accuracy,noise_robust_error_rate,fairness_pass_rate,fairness_error_rate
180f5559960f4394b5e3eb053ae7763c,脏输入测试_做工粗糙不好用,2026-06-10 14:41:30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4286,0.5714,nan,nan
09f6324275a24d29a2130c1358fb06e8,脏输入测试_画面清晰体验不错,2026-06-10 14:41:32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5714,0.4286,nan,nan
971b327f0e9b4c7fa983a11548f32d3b,脏输入测试_卡顿频繁不推荐,2026-06-10 14:41:33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4286,0.5714,nan,nan
fe5afd78087a4707b364a41e5d1061d3,OOD测试_这款手机性价比很高,2026-06-10 14:41:35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,7.0,nan,nan,nan,nan
dc344a970337486a95791559110a1041,OOD测试_做工粗糙不好用,2026-06-10 14:41:36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,7.0,nan,nan,nan,nan
9ab0dd271bca4719a68eb324f86c8194,OOD测试_画面清晰体验不错,2026-06-10 14:41:38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,7.0,nan,nan,nan,nan
d59c3919ba6b4608872182a812eb8735,OOD测试_卡顿频繁不推荐,2026-06-10 14:41:40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,7.0,nan,nan,nan,nan
4398c214d16240379fa6793d5a9c3106,离线vs模拟线上_指标衰减验收,2026-06-10 15:37:16,0.5,1.0,0.5,0.5,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
d34bd88e603945678a62946b2bac1f26,对抗注入_这款手机性价比很高,2026-06-10 15:37:20,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
cf4b25a20dd94a6bbffdb02c82ca6895,对抗注入_做工粗糙不好用,2026-06-10 15:37:22,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
3dc53c4595674772831f4966e1145651,对抗注入_画面清晰体验不错,2026-06-10 15:37:24,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
e4fd3f2532184018bf9ca73a622f257c,对抗注入_卡顿频繁不推荐,2026-06-10 15:37:26,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
01f85a3c14f54a94990ab527c4aadf5e,数据漂移测试_这款手机性价比很高,2026-06-10 15:37:28,nan,nan,nan,nan,nan,nan,nan,nan,0.5714,0.4286,nan,nan,nan,nan,nan,nan
1bcc75ed465b46b783f2b1a1a2ac2688,数据漂移测试_做工粗糙不好用,2026-06-10 15:37:30,nan,nan,nan,nan,nan,nan,nan,nan,0.4286,0.5714,nan,nan,nan,nan,nan,nan
c3ad564b1db94344a10cc498496ba6a5,数据漂移测试_画面清晰体验不错,2026-06-10 15:37:31,nan,nan,nan,nan,nan,nan,nan,nan,0.5714,0.4286,nan,nan,nan,nan,nan,nan
96cca1a009ae4b49acb015a775090811,数据漂移测试_卡顿频繁不推荐,2026-06-10 15:37:33,nan,nan,nan,nan,nan,nan,nan,nan,0.4286,0.5714,nan,nan,nan,nan,nan,nan
8ab73cd9137b4e9bb80ab2df94faf744,公平性测试_这款手机性价比很高,2026-06-10 15:37:34,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0
81d7cf602a55400b910771cddbcfa557,公平性测试_做工粗糙不好用,2026-06-10 15:37:36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0
df7a6f385de14bf8b09698fbb28ded4e,公平性测试_画面清晰体验不错,2026-06-10 15:37:37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0
1a7918d97ded4d3284827bf5aaa4ccb9,公平性测试_卡顿频繁不推荐,2026-06-10 15:37:39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0
c5eef7539a1e49ba8c017ac7abd725d9,脏输入测试_这款手机性价比很高,2026-06-10 15:37:40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5714,0.4286,nan,nan
8acf0824c1794259bb8021580f091b0a,脏输入测试_做工粗糙不好用,2026-06-10 15:37:42,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4286,0.5714,nan,nan
04d3a54685644ed4b0112365f201f1ab,脏输入测试_画面清晰体验不错,2026-06-10 15:37:43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5714,0.4286,nan,nan
a275a5a2715d4b0786ac534495a20342,脏输入测试_卡顿频繁不推荐,2026-06-10 15:37:45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4286,0.5714,nan,nan
c18c75e5699c4a02ba798b8e8710d311,OOD测试_这款手机性价比很高,2026-06-10 15:37:46,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,7.0,nan,nan,nan,nan
bdeaa100349644228b6d7e6df6c1988c,OOD测试_做工粗糙不好用,2026-06-10 15:37:48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,7.0,nan,nan,nan,nan
c848f1713725477a984678d8a553767d,OOD测试_画面清晰体验不错,2026-06-10 15:37:49,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,7.0,nan,nan,nan,nan
9cce9e4ca2dd479381ddf531fb05848a,OOD测试_卡顿频繁不推荐,2026-06-10 15:37:51,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,7.0,nan,nan,nan,nan
