run_id,run_name,start_time,test_type,offline_accuracy,total_error_rate,false_positive_rate_FPR,false_negative_rate_FNR,offline_accuracy_normal,total_error_rate_normal,offline_accuracy_edge,total_error_rate_edge,adv_robust_rate,adv_error_rate,drift_robust_rate,drift_error_rate,ood_error_rate,ood_wrong_count,noise_robust_accuracy,noise_robust_error_rate,fairness_pass_rate,fairness_error_rate,是否达标,超限详情
7046f4e220e34679ad036833f5cf4b58,数据集_offline_test_v1.csv_离线指标衰减验收,,,0.3913,0.6087,0.814,0.2692,0.2917,0.7083,0.4444,0.5556,,,,,,,,,,,不达标,离线准确率39.13%<85.00%
e74d15e86dfc4ec99c44f2ee40ef8310,数据集_offline_test_v2.csv_离线指标衰减验收,,,0.3974,0.6026,0.7843,0.2593,0.2857,0.7143,0.5278,0.4722,,,,,,,,,,,不达标,离线准确率39.74%<85.00%
c50b4698215f49458cb928e3f0fd0d95,数据集_offline_test_v3.csv_离线指标衰减验收,,,0.4533,0.5467,0.625,0.4074,0.3125,0.6875,0.5581,0.4419,,,,,,,,,,,不达标,离线准确率45.33%<85.00%
7ce17b86199e4a20b0ed300810311af7,数据集_offline_test_v1.csv_离线指标衰减验收,,,0.3913,0.6087,0.814,0.2692,0.2917,0.7083,0.4444,0.5556,,,,,,,,,,,不达标,离线准确率39.13%<85.00%
59fdbea52e9d4d4093ccb75198986d76,数据集_offline_test_v2.csv_离线指标衰减验收,,,0.3974,0.6026,0.7843,0.2593,0.2857,0.7143,0.5278,0.4722,,,,,,,,,,,不达标,离线准确率39.74%<85.00%
c538f5a85ee34e6783e4d1be06d1fa33,数据集_offline_test_v3.csv_离线指标衰减验收,,,0.4533,0.5467,0.625,0.4074,0.3125,0.6875,0.5581,0.4419,,,,,,,,,,,不达标,离线准确率45.33%<85.00%
18c309b447654f63bcafec54e720ddac,数据集_offline_test_v1.csv_离线指标衰减验收,,,0.3913,0.6087,0.814,0.2692,0.2917,0.7083,0.4444,0.5556,,,,,,,,,,,不达标,离线准确率39.13%<85.00%
b3d02c0b3ad84d5dbb94f42b2dc6a62f,数据集_offline_test_v2.csv_离线指标衰减验收,,,0.3974,0.6026,0.7843,0.2593,0.2857,0.7143,0.5278,0.4722,,,,,,,,,,,不达标,离线准确率39.74%<85.00%
c3854d2522454f63bd4c09b25edb7b9f,数据集_offline_test_v3.csv_离线指标衰减验收,,,0.4533,0.5467,0.625,0.4074,0.3125,0.6875,0.5581,0.4419,,,,,,,,,,,不达标,离线准确率45.33%<85.00%
9b67e3490b7e45d1a7e2405682ee3649,数据集_offline_test_v1.csv_离线指标衰减验收,,,0.3913,0.6087,0.814,0.2692,0.2917,0.7083,0.4444,0.5556,,,,,,,,,,,不达标,离线准确率39.13%<85.00%
3a5b5868a2714d50a9eda6b305ae9905,数据集_offline_test_v2.csv_离线指标衰减验收,,,0.3974,0.6026,0.7843,0.2593,0.2857,0.7143,0.5278,0.4722,,,,,,,,,,,不达标,离线准确率39.74%<85.00%
ba0ea299579647d08ecbccc3b74efac9,数据集_offline_test_v3.csv_离线指标衰减验收,,,0.4533,0.5467,0.625,0.4074,0.3125,0.6875,0.5581,0.4419,,,,,,,,,,,不达标,离线准确率45.33%<85.00%
8a4f977c99014530906724df4ef814d2,数据集_offline_test_v1.csv_离线指标衰减验收,,,0.3913,0.6087,0.814,0.2692,0.2917,0.7083,0.4444,0.5556,,,,,,,,,,,不达标,离线准确率39.13%<85.00%
0ebda32490714908af79115757e9da67,数据集_offline_test_v2.csv_离线指标衰减验收,,,0.3974,0.6026,0.7843,0.2593,0.2857,0.7143,0.5278,0.4722,,,,,,,,,,,不达标,离线准确率39.74%<85.00%
91a8776ab2684c2ab2bc907b68fd9355,数据集_offline_test_v3.csv_离线指标衰减验收,,,0.4533,0.5467,0.625,0.4074,0.3125,0.6875,0.5581,0.4419,,,,,,,,,,,不达标,离线准确率45.33%<85.00%
63af81621e79442ba2686eaa4fcd20d7,数据集_offline_test_v1.csv_离线指标衰减验收,,,0.3913,0.6087,0.814,0.2692,0.2917,0.7083,0.4444,0.5556,,,,,,,,,,,不达标,离线准确率39.13%<85.00%
43a4020d59ad47f289268743c976b12a,数据集_offline_test_v2.csv_离线指标衰减验收,,,0.3974,0.6026,0.7843,0.2593,0.2857,0.7143,0.5278,0.4722,,,,,,,,,,,不达标,离线准确率39.74%<85.00%
4987e3d50ffb42d2bcfb3cdd7acb3e11,数据集_offline_test_v3.csv_离线指标衰减验收,,,0.4533,0.5467,0.625,0.4074,0.3125,0.6875,0.5581,0.4419,,,,,,,,,,,不达标,离线准确率45.33%<85.00%
a9ec7e930c974fb185d5caa89e9d0ff7,数据集_offline_test_v1.csv_离线指标衰减验收,,,0.3913,0.6087,0.814,0.2692,0.2917,0.7083,0.4444,0.5556,,,,,,,,,,,不达标,离线准确率39.13%<85.00%
d5cdf9505e724e5bb7941f99ca4ddde2,数据集_offline_test_v2.csv_离线指标衰减验收,,,0.3974,0.6026,0.7843,0.2593,0.2857,0.7143,0.5278,0.4722,,,,,,,,,,,不达标,离线准确率39.74%<85.00%
27e0ba41a1c0481fa22b7eae438f151b,数据集_offline_test_v3.csv_离线指标衰减验收,,,0.4533,0.5467,0.625,0.4074,0.3125,0.6875,0.5581,0.4419,,,,,,,,,,,不达标,离线准确率45.33%<85.00%
